GENRE	TEXT	LABEL	EXTRACTION
GUIDEBOOK	Cathedral_Cities_of_Italy.txt_01_out.txt_0003	ita	Campagna
GUIDEBOOK	Cathedral_Cities_of_Italy.txt_01_out.txt_0005	ita	Siena Perugia
GUIDEBOOK	Cathedral_Cities_of_Italy.txt_01_out.txt_0007	ita	Orvieto
GUIDEBOOK	Cathedral_Cities_of_Italy.txt_01_out.txt_0011	ita	Verona
GUIDEBOOK	Cathedral_Cities_of_Italy.txt_01_out.txt_0015	ita	Ravenna
GUIDEBOOK	Cathedral_Cities_of_Italy.txt_01_out.txt_0019	ita	Pisa
GUIDEBOOK	Cathedral_Cities_of_Italy.txt_01_out.txt_0023	ita	Ravenna
GUIDEBOOK	Cathedral_Cities_of_Italy.txt_01_out.txt_0027	ita	Ravenna
GUIDEBOOK	Cathedral_Cities_of_Italy.txt_01_out.txt_0029	ita	Galla Placidia
GUIDEBOOK	Cathedral_Cities_of_Italy.txt_01_out.txt_0033	ita	Sant Apollinare Nuovo
GUIDEBOOK	Cathedral_Cities_of_Italy.txt_01_out.txt_0035	ita	Sant Apollinare
GUIDEBOOK	Cathedral_Cities_of_Italy.txt_01_out.txt_0037	ita	Classe
GUIDEBOOK	Cathedral_Cities_of_Italy.txt_01_out.txt_0039	ita	Ravenna
GUIDEBOOK	Cathedral_Cities_of_Italy.txt_01_out.txt_0041	ita	Zaccaria
GUIDEBOOK	Cathedral_Cities_of_Italy.txt_01_out.txt_0043	ita	Pisa
GUIDEBOOK	Cathedral_Cities_of_Italy.txt_01_out.txt_0055	ita	Sant Ambrogio
GUIDEBOOK	Cathedral_Cities_of_Italy.txt_01_out.txt_0057	ita	Pavia
GUIDEBOOK	Cathedral_Cities_of_Italy.txt_01_out.txt_0061	ita	Como
GUIDEBOOK	Cathedral_Cities_of_Italy.txt_01_out.txt_0063	ita	Broletto
GUIDEBOOK	Cathedral_Cities_of_Italy.txt_01_out.txt_0065	ita	Como
GUIDEBOOK	Cathedral_Cities_of_Italy.txt_01_out.txt_0067	ita	Vercelli
GUIDEBOOK	Cathedral_Cities_of_Italy.txt_01_out.txt_0069	ita	Como
GUIDEBOOK	Cathedral_Cities_of_Italy.txt_01_out.txt_0071	ita	Assisi
GUIDEBOOK	Cathedral_Cities_of_Italy.txt_01_out.txt_0073	ita	Orvieto
