"GENRE"	"BOOK"	"LABEL"	"EXTRACTION"
"TRAVEL NARRATIVE"	"A_Little_Pilgrimage_in_Italy.txt_01_out.txt_0003"	"ita"	"Perugia"
"TRAVEL NARRATIVE"	"A_Little_Pilgrimage_in_Italy.txt_01_out.txt_0005"	"ita"	"Umbria Umbria"
"TRAVEL NARRATIVE"	"A_Little_Pilgrimage_in_Italy.txt_01_out.txt_0007"	"ita"	"Lazio"
"TRAVEL NARRATIVE"	"A_Little_Pilgrimage_in_Italy.txt_01_out.txt_0009"	"ita"	"Umbria"
"TRAVEL NARRATIVE"	"A_Little_Pilgrimage_in_Italy.txt_01_out.txt_0011"	"ita"	"Umbria AREZZO"
"TRAVEL NARRATIVE"	"A_Little_Pilgrimage_in_Italy.txt_01_out.txt_0015"	"ita"	"Pisa"
"TRAVEL NARRATIVE"	"A_Little_Pilgrimage_in_Italy.txt_01_out.txt_0017"	"ita"	"tale"
"TRAVEL NARRATIVE"	"A_Little_Pilgrimage_in_Italy.txt_01_out.txt_0019"	"ita"	"garofani"
"TRAVEL NARRATIVE"	"A_Little_Pilgrimage_in_Italy.txt_01_out.txt_0021"	"ita"	"Chianti"
"TRAVEL NARRATIVE"	"A_Little_Pilgrimage_in_Italy.txt_01_out.txt_0023"	"ita"	"Via di Pellicceria"
"TRAVEL NARRATIVE"	"A_Little_Pilgrimage_in_Italy.txt_01_out.txt_0025"	"ita"	"Dante"
"TRAVEL NARRATIVE"	"A_Little_Pilgrimage_in_Italy.txt_02_out.txt_0002"	"ita"	"Arezzo"
"TRAVEL NARRATIVE"	"A_Little_Pilgrimage_in_Italy.txt_02_out.txt_0004"	"ita"	"Arezzo"
"TRAVEL NARRATIVE"	"A_Little_Pilgrimage_in_Italy.txt_02_out.txt_0006"	"ita"	"Arezzo"
"TRAVEL NARRATIVE"	"A_Little_Pilgrimage_in_Italy.txt_02_out.txt_0008"	"ita"	"Chimera"
"TRAVEL NARRATIVE"	"A_Little_Pilgrimage_in_Italy.txt_02_out.txt_0010"	"ita"	"patera"
"TRAVEL NARRATIVE"	"A_Little_Pilgrimage_in_Italy.txt_02_out.txt_0012"	"ita"	"Arezzo"
"TRAVEL NARRATIVE"	"A_Little_Pilgrimage_in_Italy.txt_02_out.txt_0016"	"ita"	"Etruria"
"TRAVEL NARRATIVE"	"A_Little_Pilgrimage_in_Italy.txt_02_out.txt_0018"	"ita"	"Arezzo"
"TRAVEL NARRATIVE"	"A_Little_Pilgrimage_in_Italy.txt_02_out.txt_0020"	"ita"	"Arezzo"
"TRAVEL NARRATIVE"	"A_Little_Pilgrimage_in_Italy.txt_02_out.txt_0022"	"ita"	"Vasari Giorgio"
"TRAVEL NARRATIVE"	"A_Little_Pilgrimage_in_Italy.txt_02_out.txt_0024"	"ita"	"Spinelli Leonardo Bruni Carlo Marsuppini"
"TRAVEL NARRATIVE"	"A_Little_Pilgrimage_in_Italy.txt_02_out.txt_0026"	"ita"	"Guido Tarlati Vasari"
"TRAVEL NARRATIVE"	"A_Little_Pilgrimage_in_Italy.txt_02_out.txt_0028"	"ita"	"Guido Monaco"
"TRAVEL NARRATIVE"	"A_Little_Pilgrimage_in_Italy.txt_02_out.txt_0030"	"ita"	"Arezzo"
"TRAVEL NARRATIVE"	"A_Little_Pilgrimage_in_Italy.txt_02_out.txt_0032"	"ita"	"Arezzo"
"TRAVEL NARRATIVE"	"A_Little_Pilgrimage_in_Italy.txt_02_out.txt_0034"	"ita"	"Arezzo"
"TRAVEL NARRATIVE"	"A_Little_Pilgrimage_in_Italy.txt_02_out.txt_0036"	"ita"	"Podestà"
"TRAVEL NARRATIVE"	"A_Little_Pilgrimage_in_Italy.txt_02_out.txt_0038"	"ita"	"del Governo"
"TRAVEL NARRATIVE"	"A_Little_Pilgrimage_in_Italy.txt_02_out.txt_0040"	"ita"	"Palazzo Comunale"
"TRAVEL NARRATIVE"	"A_Little_Pilgrimage_in_Italy.txt_02_out.txt_0042"	"ita"	"dei Priori"
"TRAVEL NARRATIVE"	"A_Little_Pilgrimage_in_Italy.txt_02_out.txt_0044"	"ita"	"Duomo"
"TRAVEL NARRATIVE"	"A_Little_Pilgrimage_in_Italy.txt_02_out.txt_0046"	"ita"	"Pieve Santa Maria di Gradi"
"TRAVEL NARRATIVE"	"A_Little_Pilgrimage_in_Italy.txt_02_out.txt_0048"	"ita"	"Piero"
"TRAVEL NARRATIVE"	"A_Little_Pilgrimage_in_Italy.txt_02_out.txt_0050"	"ita"	"Santa Maria delle Grazie"
"TRAVEL NARRATIVE"	"A_Little_Pilgrimage_in_Italy.txt_02_out.txt_0052"	"ita"	"Arezzo"
"TRAVEL NARRATIVE"	"A_Little_Pilgrimage_in_Italy.txt_02_out.txt_0054"	"ita"	"Arezzo"
"TRAVEL NARRATIVE"	"A_Little_Pilgrimage_in_Italy.txt_02_out.txt_0056"	"ita"	"Palazzo Comunale"
"TRAVEL NARRATIVE"	"A_Little_Pilgrimage_in_Italy.txt_02_out.txt_0060"	"ita"	"Madonna"
"TRAVEL NARRATIVE"	"A_Little_Pilgrimage_in_Italy.txt_02_out.txt_0062"	"ita"	"Arezzo Guido Tarlati"
"TRAVEL NARRATIVE"	"A_Little_Pilgrimage_in_Italy.txt_02_out.txt_0064"	"ita"	"Agostino"
"TRAVEL NARRATIVE"	"A_Little_Pilgrimage_in_Italy.txt_02_out.txt_0066"	"ita"	"Agnolo"
"TRAVEL NARRATIVE"	"A_Little_Pilgrimage_in_Italy.txt_02_out.txt_0068"	"ita"	"Siena"
"TRAVEL NARRATIVE"	"A_Little_Pilgrimage_in_Italy.txt_02_out.txt_0070"	"ita"	"Duomo"
"TRAVEL NARRATIVE"	"A_Little_Pilgrimage_in_Italy.txt_02_out.txt_0072"	"ita"	"Della"
"TRAVEL NARRATIVE"	"A_Little_Pilgrimage_in_Italy.txt_02_out.txt_0074"	"ita"	"Madonna"
"TRAVEL NARRATIVE"	"A_Little_Pilgrimage_in_Italy.txt_03_out.txt_0002"	"ita"	"Umbria"
"TRAVEL NARRATIVE"	"A_Little_Pilgrimage_in_Italy.txt_03_out.txt_0004"	"ita"	"scudi"
"TRAVEL NARRATIVE"	"A_Little_Pilgrimage_in_Italy.txt_03_out.txt_0006"	"ita"	"Peregrino quasi mendicando"
"TRAVEL NARRATIVE"	"A_Little_Pilgrimage_in_Italy.txt_03_out.txt_0008"	"ita"	"Albergo della Stella"
"TRAVEL NARRATIVE"	"A_Little_Pilgrimage_in_Italy.txt_03_out.txt_0010"	"ita"	"acacia"
"TRAVEL NARRATIVE"	"A_Little_Pilgrimage_in_Italy.txt_03_out.txt_0012"	"ita"	"fiaschi"
